artist,format,genre,length,producer,recorded,release,song,songwriter,year
Blessid Union of Souls,"CD,, ,cassette",,"
,Length,
,4,:,27,
",,1994,18-Feb-95,I Believe,Eliot Sloan,1995
LL Cool J,CD single,"
,
,
,Hip hop,
,R&B,
,new jack swing,[,citation needed,],
,
,
",,"
,
,
,Trackmasters,
,LL Cool J,
,
,
",1995,31-Oct-95,Hey Lover,"
,
,
,James Todd Smith,
,Rod Temperton,
,
,
",1996
Eric Clapton,"7"" vinyl, · ,MC, · ,CD, · ,digital","
,
,
,Folk,
,pop,
,
,
",,Kenneth "Babyface" Edmonds,,"July 5, 1996",Change the World,"Tommy Sims,, ,Gordon Kennedy,, ,Wayne Kirkpatrick",1996
Celine Dion,"
,
,
,7"" single,
,12"" single,
,CD single,
,
,
,
,
,
,7"",
,CD,
,cassette,
,
,
,CD, DVD, 7""","Soft rock,
,
,
,Pop,
,soft rock,
,
,
,Rock",,"Jim Steinman,
,
,
,Jim Steinman,
,Steven Rinkoff,
,Roy Bittan,
,
,
,Desmond Child","1989,1995; ,
","October 25, 1989,29 July 1996,16 October 2006",It's All Coming Back to Me Now,"Jim Steinman,Jim Steinman,Jim Steinman",1996
Jewel,CD single,"
,
,
,Pop,
,
,
","
,Length,
,
,
,
,5,:,39, (album version),
,4,:,02, (radio edit),
,
,
,
",Peter Collin,1994,"July 8, 1997","Foolish Games,You Were Meant for Me",Jewel Kilcher,1997
Elton John,"
,
,
,CD single,
,7"" single,
,
,
,
,
,
,CD single,
,vinyl record, ,(7""),
,audio cassette,
,
,
",,"
,Length,
,
,
,
,3,:,59, ,(single edit),
,5:13 ,(album version),
,
,
,
","Chris Thomas,Chris Thomas",13-Jan-97,"
,
,
,
","Something About the Way You Look Tonight,Candle in the Wind 1997","
,
,
,Elton John,
,Bernie Taupin,
,
,
,
,
,
,Elton John,
,Bernie Taupin,
,
,
",1997
R. Kelly,"
,
,
,CD single,
,cassette single,
,7"" vinyl,
,
,
","R&B,, ,hip hop soul","
,Length,
,4,:,37,
","
,
,
,R. Kelly,
,Timmy Allen ,(add.),
,
,
",1993,11-Mar-94,Your Body's Callin',Robert Kelly,1994
Snoop Doggy Dogg,"
,
,
,CD single,
,12"" single,
,cassette,
,EP,
,
,
",Gangsta rap,"
,Length,
,4,:,06,
",Dr. Dre,1993,"October 30, 1993",What's My Name?,"
,
,
,Andre Young,
,George Clinton,
,Gary Shider,
,Calvin Broadus,
,David Spradley,
,
,
",1994
2Pac,12","Hip hop,, ,R&B",,DJ Daryl,1992,28-Oct-93,Keep Ya Head Up,Tupac Shakur,1994
Jodeci,,"R&B,, ,soul","
,Length,
,5,:,01,
",DeVante Swing,1993,23-Nov-93,Cry for You,"Donald DeGrate, Jr.",1994
Warren G,"Vinyl,, ,Cassette,, ,CD","G-funk,, ,West Coast hip hop","
,Length,
,3,:,23,
",Warren G,1993–1994,5-Jul-94,This D.J.,Warren Griffin,1994
Hootie & the Blowfish,,"
,
,
,Rock,
,heartland rock,
,roots rock,
,
,
","
,Length,
,
,
,
,5,:,08, ,(album version),
,4:10 ,(radio edit),
,
,
,
",Don Gehman,,17-Dec-94,Let Her Cry,"
,
,
,Mark Bryan,
,Dean Felber,
,Darius Rucker,
,Jim ""Soni"" Sonefeld,
,
,
",1995
Soul for Real,,"R&B,, ,new jack swing,, ,hip hop soul",,"Heavy D, & ,Samuel ""Red Hot Lover Tone"" Barnes, Jean-Claude ""Poke"" Olivier",1994,15-Nov-94,Candy Rain,"Ali Shaheed Muhammad,, ,Hamish Stuart,, ,Dwight Myers,, Malik Taylor, Owen McIntyre, ,Samuel Barnes,, ,Jean-Claude Olivier,, ,Terri Robinson",1995
Ini Kamoze,,"
,
,
,Hip hop,
,breakbeat,
,dancehall,
,reggae fusion,
,
,
","
,Length,
,4,:,13,
",Salaam Remi,,18-Aug-94,Here Comes the Hotstepper,"Ini Kamoze, Chris Kenner, Kenton Nix, ,Salaam Remi",1995
The Notorious B.I.G.,"12"" single,, ,CD single,, ,Cassette single","Dirty rap,, ,G-funk","
,Length,
,4,:,29,
","Sean ""Puffy"" Combs, and ,Rashad Smith, ,(remix)",,6-Jun-95,One More Chance,"Mark DeBarge, Bunny DeBarge, Sean Combs, Christopher Wallace, Rashad Smith",1995
"2Pac,K-Ci and JoJo","
,
,
,12"" single,
,CD single,
,
,
","Hip hop,, ,R&B","
,Length,
,4,:,47,
",Johnny "J","October 1995; Can-Am Studios,
",4-Jun-96,"How Do U Want It,California Love","
,
,
,Tupac Shakur,
,Johnny Jackson,
,Bruce Fisher,
,Leon Ware,
,Stanley Richardson,
,Quincy Jones,
,
,
",1996
Brandy,"
,
,
,CD single,
,maxi single,
,
,
","
,
,
,R&B,
,hip hop soul,
,funk,
,
,
","
,Length,
,4,:,52,
",Babyface,1995,"December 12, 1995",Sittin' Up in My Room,Kenneth "Babyface" Edmonds,1996
Gin Blossoms,,"Jangle pop,, ,alternative rock","
,Length,
,4,:,31,
","John Hampton, Gin Blossoms",,5-Feb-96,"Follow You Down,Til I Hear It from You","S. Johnson, B. Leen, P. Rhodes, J. Valenzuela, R. Wilson",1996
Whitney Houston,"
,
,
,CD single,
,12"" single,
,
,
","
,
,
,R&B,
,soul,
,
,
","
,Length,
,3,:,25,
",Babyface,1995,"November 7, 1995",Exhale (Shoop Shoop),Babyface,1996
Alanis Morissette,"
,
,
,CD single,
,maxi single,
,cassette,
,
,
",,"
,Length,
,3,:,48,
",Glen Ballard,,27-Feb-96,Ironic,"Alanis Morissette, ,Glen Ballard",1996
Xscape,"CD single,, ,cassette single,, 7"" 45rpm ,vinyl single","Soul,, ,R&B,, ,hip hop soul,, ,quiet storm","
,Length,
,5,:,41, ,(CD/Cassette),
9:24 ,(7""),
",,1993,21-Dec-93,Understanding,Manuel Seal,1994
Aaron Hall,"12"",, ,cassette,, ,CD",R&B,"
,Length,
,
,
,
,6,:,22, ,(album version),
,5,:,24, ,(long radio edit),
,4,:,54, ,(short radio edit),[1],
,
,
,
",,1993,29-Sep-94,I Miss You,"Aaron Hall, Gregory Cauthen,[2]",1994
Michael Jackson,"
,
,
,CD single,
,
,Cassette single,
,
,7"",
,12"",
,video promo,
,
,
,CD single, ,digital single,digital single","
,
,
,R&B,
,
,
,Pop,, ,R&B,R&B,, ,Soul","
,Length,
,5,:,45, ,(Album version),
4:34 ,(,Radio edit,),
4:56 ,(Single version),
5:35 ,(,Video, edit),
6:01 ,(Extended version),
","
,
,
,R. Kelly,
,Michael Jackson,
,
,
,R. Kelly","November 1994,
Chicago Recording Company,
,2009","August 15, 1995,November 15, 2009,December 14, 2010",You Are Not Alone,"Robert Kelly,R. Kelly,R. Kelly",1995
Des'ree,"
,
,
,CD,
,CD maxi,
,12"" maxi,
,
,
","
,
,
,R&B,
,soul,
,
,
","
,Length,
,4,:,04,
",Ashley Ingram,1993,"March 28, 1994,
February 27, 1995 ,
March 22, 1999 ",You Gotta Be,"
,
,
,Des'ree,
,Ashley Ingram,
,
,
",1995
Nicki French,"
,
,
,7"",
,12"",
,CD,
,
,
,
,
,
,CD single,
,cassette single,
,7"",
,12"",
,
,
,CD Single","Hi-NRG,[82],Pop","
,Length,
,
,
,
,6,:,59, ,(album version),
,5:53 ,(2013 re-recording for the album ,Rocks and Honey,),
,5:32 ,(music video version),
,4:35 ,(2011 single version),
,4:30 ,(single version),
,3:49 ,(2005 re-recording for the album ,Wings,),
,
,
,
","Jim Steinman,
,
,
,Mike Stock,
,Matt Aitken,
,
,
",1994,"1983,27 February 1995,2007",Total Eclipse of the Heart,"Jim Steinman,Jim Steinman,Jim Steinman",1995
Shaggy,"
,
,
,12"",
,CD,
,cassette,
,
,
","
,
,
,Reggae fusion,
,pop,
,
,
","
,Length,
,3,:,52,
",Shaggy,1995,"
,
",Boombastic,"
,
,
,Orville Burrell,
,Robert Livingstone,
,Flowed III,
,
,
",1995
Everything but the Girl,"CD single,, ,CD maxi,, ,12"" maxi","
,
,
,House,
,electronica,
,
,
","
,Length,
,4,:,04,
","
,
,
,Ben Watt,
,Todd Terry,
,
,
",1993-1994,"8 August 1994,
16 October 1995 ",Missing,"Tracey Thorn,
,Ben Watt",1996
Quad City DJ's,CD,"Hip hop,, ,Miami bass,, ,dance-pop",,,1995,27-Feb-96,C'mon N' Ride It (The Train),B. White; C.C. Lemonhead; Jay Ski; Michael Phillips,1996
"Luther Vandross,Mariah Carey","7"",
,
,
,CD single,
,cassette single,
,7"" single,
,
,
,
,
,
,Digital download,
,airplay,
,
,
","
,
,
,Pop,
,R&B,
,
,
,R&B,
,
,
,Country,
,pop,
,
,
","
,Length,
,4,:,24,
","Lionel Richie,Walter Afanasieff,
,
,
,Nathan Chapman,
,Lionel Richie,
,
,
","198,119,942,011","August 1, 1981,August 29, 1994,February 7, 2012",Endless Love,"Lionel Richie,Lionel Richie,Lionel Richie",1994
Domino,"Vinyl,, ,Cassette,, ,CD","Hip hop,, ,G-Funk",,"DJ Battlecat,, ,Domino",1993,16-Nov-93,Getto Jam,"Shawn Ivy, Kevin Gilliam",1994
Bruce Springsteen,"
,
,
,CD single,
,CD maxi,
,7"" single,
,cassette,
,
,
",,"
,Length,
,3,:,15, ,(single edit),
3:55 ,(soundtrack version),
","
,
,
,Bruce Springsteen,
,Chuck Plotkin,
,Tommy Sims,
,
,
",July–August 1993,2-Feb-94,Streets of Philadelphia,"Bruce Springsteen,[1]",1994
Immature,"CD,, ,12""",R&B,"
,Length,
,4,:,13,
",,,21-Jun-94,Never Lie,"Claudio Cueni, ,Chris Stokes,[1]",1994
Snoop Doggy Dogg,12-inch single,"
,
,
,G-funk,
,West Coast hip hop,
,
,
","
,Length,
,3,:,31,
",Dr. Dre,1993,15-Jan-94,Gin and Juice,"
,
,
,Harry Wayne ""K.C."" Casey,
,Andre Young,
,Richard Finch,
,Calvin Broadus,
,
,
",1994
Gin Blossoms,"CD single,, ,cassette","Alternative rock,, ,jangle pop","
,Length,
,3,:,53,
",,1992,Nov-93,Found Out About You,Doug Hopkins,1994
Bon Jovi,"
,
,
,CD single,
,cassette,
,
,
",Pop rock,"
,Length,
,5,:,54, (Album Version),
4:55 (Single Edit),
4:37 (Radio Edit),
",Peter Collins,1994,20 September 1994,Always,Jon Bon Jovi,1995
Bryan Adams,CD single,"Latin rock,, ,soft rock,, ,pop rock","
,Length,
,4,:,50,
",Adams and Lange,1994,"April 4, 1995",Have You Ever Really Loved a Woman?,"Bryan Adams,
,Michael Kamen,
,Robert John ""Mutt"" Lange",1995
All-4-One,"CD Single,CD Single","Country,R&B","
,Length,
,3,:,55,
","Scott Hendricks,David Foster",1995,"February 27, 1995,June 17, 1995",I Can Love You Like That,"Steve Diamond,
Maribeth Derry,
,Jennifer Kimball,Steve Diamond, Maribeth Derry, Jennifer Kimball",1995
Blues Traveler,CD,"Blues rock,, ,jazz rock","
,Length,
,4,:,40, (Album version),
4:12 (,Single edit,),
",,Spring 1994,28-Feb-95,Run-Around,John Popper,1995
Adina Howard,"CD single,, ,vinyl single,CD single,, ,12"" single,CD single,, ,Cassette single,, ,vinyl single,, ,digital download","R&B,, ,G-funk,,,[1], ,hip hop soul,, ,new jack swing,UK garage,Electronica,, ,synthpop,, ,R&B",,"Mass Order,Andrew Hunter, George Demetriou, Ian McKenzie, Maxim Elmaki, Nial Montgomery,Richard X","2002; ,, ","January 25, 1995,August 28, 2000,22 April 2002",Freak Like Me,"Eugene Hanes, Marc Valentine, William 'Bootsy' Collins, George Clinton, Jr.,William Collins, Eugene Hanes, Gary Lee Cooper, George Clinton, Loren Hill, Marc Valentine,Eugene Hanes, Marc Valentine, Loren Hill, William Collins, George Clinton, ,Gary Numan",1995
Keith Sweat,"CD single,, ,Cassette single","R&B,, ,hip hop soul",,"Keith Sweat,
Eric McCaine",1995,4-Jun-96,Twisted,"Keith Sweat, Eric McCaine, Athena Cage, Lavonn Battle, Tabitha Duncan, Marvin Gaye, David Ritz, Elliott Brown",1996
Toni Braxton,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
","
,
,
,R&B,
,hip hop soul,
,
,
","
,Length,
,4,:,27,
","
,
,
,Babyface,
,Bryce Wilson,
,
,
",1996,21-May-96,"You're Makin' Me High,Let It Flow","
,
,
,Kenneth Edmonds,
,Bryce Wilson,
,
,
",1996
Donna Lewis,"
,
,
,CD maxi,
,12"" maxi,
,
,
,Digital download","Pop,
,
,
,Synthpop,
,pop,
,
,
","
,Length,
,3,:,59, ,(album version),
3:24 ,(radio edit),
","
,
,
,Donna Lewis,
,Kevin Killen,
,
,
,
,
,
,Peter Thomas,
,
,
",1995,"14 May 1996,3 June 2016",I Love You Always Forever,"Donna Lewis,Donna Lewis",1996
Bone Thugs-n-Harmony,"CD single,, ,12"" single,, ,cassette,CD single,, ,cassette,, ,digital download","
,
,
,Midwest hip hop,
,R&B,
,
,
,Hip hop",,"DJ U-Neek,, Tony C (original version)","19,952,002","April 30, 1996 (US),
July 29, 1996 (UK),August 19, 2002",Tha Crossroads,"Bryon McCane II,, ,Anthony Henderson,, ,Steven Howse,, ,Charles Scruggs,Bryon McCane II, Anthony Henderson, Steven Howse, Charles Scruggs",1996
Tracy Chapman,CD single,Blues rock,"
,Length,
,4,:,30, ,(album version),
4:07 ,(radio edit),
",,1995,19-Mar-96,Give Me One Reason,Tracy Chapman,1996
Beck,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
","Alternative rock,, ,hip hop","
,Length,
,3,:,55,
","
,
,
,Beck,
,Karl Stephenson,
,Tom Rothrock,
,
,
",1992,"
,
",Loser,"
,
,
,Beck,
,Karl Stephenson,
,
,
",1994
The Cranberries,"
,
,
,CD,
,7"",
,12"",
,
,
","
,
,
,Alternative rock,
,soft rock,
,
,
","
,Length,
,4,:,34,
4:11 ,(Edit),
",Stephen Street,1993,"23 February 1993,
17 February 1994 ",Linger,"
,
,
,Dolores O'Riordan,
,Noel Hogan,
,
,
",1994
Janet Jackson,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
","
,
,
,Dance-pop,
,new jack swing,
,
,
","
,Length,
,4,:,20,
","
,
,
,Jimmy Jam and Terry Lewis,
,Janet Jackson,
,
,
",1992–93,"January 18, 1994",Because of Love,"
,
,
,Janet Jackson,
,James Harris III,
,Terry Lewis,
,
,
",1994
Mariah Carey,"
,
,
,CD,
,cassette,
,7"",
,12"",
,
,
","
,
,
,Pop,
,gospel,
,R&B,
,
,
","
,Length,
,4,:,26,
","
,
,
,Mariah Carey,
,Walter Afanasieff,
,
,
",1993,"May 31, 1994",Anytime You Need a Friend,"
,
,
,Mariah Carey,
,Walter Afanasieff,
,
,
",1994
Crystal Waters,"
,
,
,CD single,
,CD maxi,
,12"" maxi,
,
,
","
,
,
,House,
,dance-pop,
,
,
","
,Length,
,4,:,40,
","
,
,
,Douglas,
,Steinhour,
,
,
",1993,10-May-94,100% Pure Love,"
,
,
,Crystal Waters,
,Teddy Douglas,
,Thomas Davis,
,Jay Steinhour,
,
,
",1994
Tevin Campbell,"CD single,, ,Cassette single","R&B,, ,new jack swing",,"Babyface,, ,Daryl Simmons",1993,25-Feb-94,I'm Ready,Babyface,1994
Dionne Farris,"CD single,, ,CD maxi,, ,7"" single","Pop rock,, ,alternative rock,, ,R&B","
,Length,
,3,:,47,
","
,
,
,Dionne Farris,
,David Harris,
,Milton Davis,
,
,
",1994,Mar-95,I Know,"
,
,
,Milton Davis,
,William DuVall,
,
,
",1995
Montell Jordan,"CD single,Digital download","
,
,
,New jack swing,[1],
,hip hop soul,[2],
,R&B,[3],
,
,
,House","
,Length,
,
,4,:,47, (album version),
3:59 (single version),
","
,
,
,Montell Jordan,
,Oji Pierce,
,
,
","19,942,015","February 6, 1995,15 May 2015",This Is How We Do It,"
,
,
,Montell Jordan,
,Oji Pierce,
,Ricky Walters,
,
,
,Montell Jordan",1995
Monica,"
,
,
,CD maxi single,
,cassette,
,7"",
,
,
","
,
,
,R&B,
,hip hop soul,
,
,
","
,Length,
,4,:,18, ,(album version),
",Dallas Austin,1993,"April 10, 1995",Don't Take It Personal (Just One of Dem Days),"
,
,
,Dallas Austin,
,Monica Arnold,
,Willie James Baker,
,Derrick Simmons,
,James Todd Smith,
,Carlton Ridenhour,
,Quincy Jones III,
,Abrim Tilmon, Jr.,
,Hank Shocklee,
,Eric Sadler,
,George Clinton,
,James Brown,
,
,
",1995
Mariah Carey,"
,
,
,12"",
,CD,
,cassette,
,
,
","
,
,
,Pop,[1],
,R&B,[2],
,
,
","
,Length,
,4,:,18,
","
,
,
,Mariah Carey,
,Jermaine Dupri,
,Manuel Seal,
,
,
",Dec-94,"March 9, 1996",Always Be My Baby,"
,
,
,Mariah Carey,
,Jermaine Dupri,
,Manuel Seal,
,
,
",1996
The Tony Rich Project,CD single,Country,"
,Length,
,3,:,26,
",Chris Farren,,23-Sep-96,Nobody Knows,"Joe Rich, Don DuBose",1996
Celine Dion,"
,
,
,CD,
,cassette,
,7"",
,12"",
,
,
","
,
,
,Pop,
,R&B,
,
,
","
,Length,
,4,:,33,
",David Foster,"1995; Chartmarker Studios (Los Angeles, California),
, (Hollywood, California),
Rumbo Recorders (Los Angeles, California),10",20 February 1996,Because You Loved Me,Diane Warren,1996
"Mariah Carey,Boyz II Men","
,
,
,Cassette,
,CD,
,maxi,
,7"",
,12"",
,
,
",R&B,"
,Length,
,4,:,42,
","
,
,
,Mariah Carey,
,Walter Afanasieff,
,
,
",Feb-95,"November 14, 1995",One Sweet Day,"
,
,
,Mariah Carey,
,Walter Afanasieff,
,Nathan Morris,
,Michael McCary,
,Shawn Stockman,
,Wanya Morris,
,
,
",1996
Changing Faces,"12"",, 33​,1,⁄,3, RPM, Vinyl",R&B,"
,Length,
,5,:,50,
",R. Kelly,,30-Jun-94,Stroke You Up,R. Kelly,1994
Melissa Etheridge,"CD single,
,Compact Cassette",Rock,"
,Length,
,3,:,55, ,(Album Version),
3:35 ,(Edit),
","Hugh Padgham,
Melissa Etheridge","A&M Studios, ",1994,Come to My Window,Melissa Etheridge,1994
Us3,"12"" single,, CD single, ,cassette single","Jazz rap,, ,acid jazz","
,Length,
,4,:,41,
","Geoff Wilkinson, Mel Simpson",1993,Sep-93,Cantaloop (Flip Fantasia),"Herbie Hancock,, Rahsaan Kelly, Geoff Wilkinson, Mel Simpson",1994
Madonna,"
,
,
,CD,
,cassette,
,maxi,
,
,
","
,
,
,Pop,
,R&B,
,
,
","
,Length,
,5,:,21,
","
,
,
,Madonna,
,Babyface,
,
,
","1994; ,, New York",6-Dec-94,Take a Bow,"
,
,
,Madonna,
,Kenneth Edmonds,
,
,
",1995
Mariah Carey,"
,
,
,7"",
,12"",
,CD,
,cassette,
,
,
","
,
,
,R&B,
,dance-pop,[1],
,hip hop,[2],
,
,
","
,Length,
,4,:,04,
","
,
,
,Mariah Carey,
,Dave Hall,
,Puff Daddy, ,(remix only),
,
,
",Dec-94,"September 12, 1995,
December 18, 1995 (remix)",Fantasy,"
,
,
,Mariah Carey,
,Dave Hall,
,Adrian Belew,
,Chris Frantz,
,Steven Stanley,
,Tina Weymouth,
,
,
",1995
Real McCoy,CD,Eurodance,"
,Length,
,3,:,57,
","Juergen Wind (J.Wind), ,Frank ""Quickmix"" Hassas",1993,"1993 (Europe),
1994 (North America)",Another Night,"Juergen Wind (J.Wind), ,Frank ""Quickmix"" Hassas,, ,Olaf Jeglitza",1995
Boyz II Men,CD single,R&B,"
,Length,
,5,:,29,
",Jimmy Jam and Terry Lewis,1994,1-Nov-94,On Bended Knee,"James Harris III, Terry Lewis",1995
Seal,CD single,"
,
,
,Pop,
,R&B,
,soul,
,
,
","
,Length,
,
,
,
,4,:,47, ,(album version),
,3:38 ,(,Batman Forever, film edit),
,
,
,
",Trevor Horn,1994,"
,
",Kiss from a Rose,Seal,1995
Los del Río,"
,
,
,CD,
,7"",
,12"",
,cassette,[1],
,
,
,
,
,
,CD,
,12"",
,cassette,[68],
,
,
","
,
,
,Dance-pop,
,
,
,
,
,
,Latin pop,
,dance-pop,
,
,
","
,Length,
,3,:,51, ,(Bayside Boys ,mix,),
","Los del Río,Los del Mar","1992; 1994,1995","August 15, 1995 ,1996",Macarena,"
,
,
,Rafael Ruiz Perdigones,
,Antonio Romero Monge,
,SWK,
,
,
,
,
,
,Rafael Ruiz Perdigones,
,Antonio Romero Monge,
,SWK,
,
,
",1996
"10,000 Maniacs","7-inch 45 rpm,CD single,, ,CD maxi,CD,, ,cassette,CD,, ,CD maxi,10-inch single,, ,digital download","Rock,
,
,
,Synth-pop,[21],
,eurodance,
,
,
,Alternative rock,Eurodance,, ,Dance-Pop,Alternative rock","
,Length,
,3,:,22,
","Jimmy Iovine,Paul Fox,Yann Pfeiffer,, ,DJ Manian,Garbage and Screaming Females","1977,April 21, 1993,2008,2013","March 2, 1978,1992,October 28, 1993,July 18, 2008,April 20, 2013",Because the Night,"Bruce Springsteen,, Patti Smith,Bruce Springsteen,, ,Patti Smith,Bruce Springsteen,, ,Patti Smith,Bruce Springsteen,, ,Patti Smith,Bruce Springsteen,, ,Patti Smith",1994
DRS,"
,
,
,CD,
,12"",
,cassette,
,
,
",R&B,,Chris Jackson,,6-Oct-93,Gangsta Lean,Chris Jackson,1994
Da Brat,CD,"Hip hop,, ,G-funk","
,Length,
,3,:,05,
",Jermaine Dupri,1993,30-May-94,Funkdafied,"Jermaine Dupri,, ,The Isley Brothers,, ,Chris Jasper",1994
Tevin Campbell,"CD single,, ,Cassette single","R&B,, ,new jack swing",,Babyface,1992,30-Sep-93,Can We Talk,"Babyface,, ,Daryl Simmons",1994
Crash Test Dummies,CD single,"Alternative rock,,,[1], ,folk rock","
,Length,
,3,:,55,
","Jerry Harrison,, Crash Test Dummies","1993 (Music Head Recording in Lake Geneva, Wisconsin)",1-Oct-93,Mmm Mmm Mmm Mmm,Brad Roberts,1994
Sheryl Crow,"CD single,, ,cassette single,CD single,, ,digital download",Country pop,"
,Length,
,4,:,32, (Album version),
4:11 (Remix),
",Bill Bottrell,"Toad Hall, ,, 1993","April 4, 1994,January 12, 2004",All I Wanna Do,"Wyn Cooper,, ,Sheryl Crow,, ,David Baerwald,, ,Bill Bottrell,, ,Kevin Gilbert,Wyn Cooper,, ,Sheryl Crow,, ,David Baerwald,, ,Bill Bottrell,, ,Kevin Gilbert",1994
TLC,"
,
,
,12"",
,cassette,
,CD,
,maxi,
,mini CD,
,
,
",R&B,,Dallas Austin,"1993–94;,
DARP Studios,
(,),35","October 31, 1994",Creep,Dallas Austin,1995
Enigma,"CD,, ,cassette,, ,12"" (30 cm)","New-age,, ,worldbeat","
,Length,
,4,:,03, (243 sec),
",Michael Cretu,"1993 ,, ",4-Jan-94,Return to Innocence,"Michael Cretu,, ,Kuo Ying-nan,, ,Kuo Hsiu-chu,, ,John Bonham",1994
Michael Bolton,CD single,Pop,"
,Length,
,5,:,06,
","Michael Bolton,
Robert John ""Mutt"" Lange",1993,26-Oct-93,Said I Loved You...But I Lied,"Michael Bolton,
,Robert John ""Mutt"" Lange",1994
Collective Soul,,"Alternative rock,, ,post-grunge","
,Length,
,5,:,07, (Album version),
4:40 (Radio edit),
",Ed Roland,1992,"March 19, 1993,
October 21, 1993 (re-release)",Shine,Ed Roland,1994
Janet Jackson,"7"",, ,12"",, ,CD,, ,cassette",R&B,"
,Length,
,7,:,08, ,(album version),
5:11 ,(,R. Kelly, remix),
","Jimmy Jam and Terry Lewis,, Janet Jackson, ,R. Kelly, ,(remix only)",1992–93,"May 23, 1994","Any Time, Any Place","Janet Jackson, James Harris III, Terry Lewis",1994
Salt-n-Pepa,"
,
,
,12"",
,CD,
,cassette,
,
,
",Hip hop,"
,Length,
,4,:,07,
","
,
,
,Mark Sparks,
,Salt,
,
,
",1993,21-Sep-93,Shoop,"
,
,
,Sandra Denton,
,Cheryl James,
,
,
",1994
All-4-One,,"Doo-wop,R&B","
,Length,
,2,:,08,
",,,"19,631,993",So Much in Love,"George Williams, Bill Jackson, Roy Straigis",1994
TLC,"
,
,
,Cassette,
,CD single,
,CD maxi,
,
,
,Digital download","
,
,
,R&B,[1],
,
,
,R&B,, ,hip hop soul","
,Length,
,4,:,40,
","Organized Noize,Future Cut",1994,"May 29, 1995,11 November 2012",Waterfalls,"
,
,
,Marqueze Etheridge,
,Lisa Lopes,
,Organized Noize,
,
,
,Marqueze Etheridge, ,Lisa Lopes,, ,Organized Noize",1995
"Coolio,L.V.","CD single,, ,cassette,, ,12"" single","Horrorcore,, ,gangsta rap,, ,hip hop soul","
,Length,
,4,:,00,
",Doug Rasheed,1994-1995,8-Aug-95,Gangsta's Paradise,"
,
,
,Artis Ivey, Jr.,
,Larry Sanders,
,Doug Rasheed,
,Stevie Wonder,
,
,
",1995
Bryan Adams,CD single,Rock,"
,Length,
,5,:,55,
",Bryan Adams and Robert Lange,,"October 15, 1993",Please Forgive Me,"Bryan Adams, and ,Robert Lange",1994
Babyface,,"R&B,, ,adult contemporary,, ,soft rock","
,Length,
,3,:,49,
","L.A. Reid, Babyface, Daryl Simmons",1993,20-May-94,When Can I See You,Babyface,1994
Richard Marx,,"Soft rock,[1]","
,Length,
,3,:,31,
",Richard Marx,,"January 9, 1994,
January 9, 2000 (re-release)",Now and Forever,Richard Marx,1994
Aaliyah,"
,
,
,CD single,
,cassette single,
,12-inch single,
,
,
","
,
,
,Dance,[1],
,pop,[2],
,R&B,[3],
,
,
","
,Length,
,3,:,51,
",R. Kelly,"
",10-May-94,Back & Forth,R. Kelly,1994
"Warren G,Nate Dogg","
,
,
,7"",
,12"",
,CD,
,
,
","
,
,
,West Coast hip hop,
,G-funk,
,Gangsta rap,
,
,
","
,Length,
,4,:,11,
",Warren G,1993,"April 28, 1994",Regulate,"
,
,
,Nate Dogg,
,Warren G,
,
,
",1994
Jon Secada,,Pop,,,,,If You Go,"Jon Secada,
,Miguel Morejon",1994
Big Mountain,"7"",
,
,
,CD single,
,7"",
,
,
","Soft rock,Reggae fusion","
,Length,
,4,:,43,
3:31 (7"" version),
","Peter Frampton,Ron Fair","19,751,993","September 1975,February 1, 1994","Baby, I Love Your Way","Peter Frampton,Peter Frampton",1994
Prince,"7"" single,
,12"" single,
,Cassette single,
,CD single","Soft rock,, ,R&B,, ,pop","
,Length,
,4,:,07, (single edit),
4:37 (original mix),
4:25 (,Gold Experience, version),
","Prince, Ricky Peterson"," September 20, 1993; Late January 1994",24-Feb-94,The Most Beautiful Girl in the World,Prince,1994
Coolio,"12"" single,, ,CD single","West Coast hip hop,, ,G-funk,, ,gangsta rap","
,Length,
,5,:,32, (Main version),
4:08 (,Radio version,),
",Brian Dobbs,1993,"March 8, 1994",Fantastic Voyage,"Norman Beavers, Marvin Craig, Brian Dobbs, Artis Ivey, Jr., Fred Alexander, Jr., Mark Adam Wood, Jr., Tiemeyer McCain, Thomas Oliver Shelby, Stephen Shockley, Otis Stokes",1994
Elton John,"CD,, ,vinyl record, (7""), ,audio cassette",,"
,Length,
,3,:,59,
",Chris Thomas,1993-1994,"May 12, 1994",Can You Feel the Love Tonight,"Elton John, (music), ,Tim Rice, (lyrics),[1]",1994
Toni Braxton,"CD single,, ,12"" single",R&B,"
,Length,
,4,:,56,
","L. A. Reid, Babyface, Daryl Simmons",1993,"April 22, 1994",You Mean the World to Me,"Antonio ""L. A."" Reid,, ,Babyface,, ,Daryl Simmons",1994
Mariah Carey,"7"" single,CD single,, ,cassette single,, ,7"" single,, ,12"" maxi single",,"
,Length,
,4,:,43,
","Geoff Emerick,Richard Perry,
,
,
,Mariah Carey,
,Walter Afanasieff,
,
,
","1971, ,, ,.,1993","9 November 1970,11 October 1971,24 January 1994","Without You,Never Forget You","Pete Ham,, ,Tom Evans,Pete Ham,, ,Tom Evans,Pete Ham,, ,Tom Evans",1994
